input,output
"What would the world sound like without the constant humming of motors everytime you walked outside? It would sound pretty strange, right? Well, people from around the world have already restricted car use, and they love it. Some areas restrict car usage because of pollution, some just because they find that while driving a car you're stressed. Others don't restrict car use, but the people choose not to drive for their own reasons.

In one source,

In German Suburb, Life Goes On Without Cars , it said that passenger cars are responsible for 50 percent of greenhouse gases in some car intensive areas in the United States. In the United States, cars are the second leading pollutor, right behind power plants. In 2014, Paris had enforced a partial driving ban, according to the artical

Paris bans driving due to smog . The partial driving ban consists of having motorists with even numbered plates keep their cars at home, then having the odd numbered plates to the same the next day. Diesels had made up 67 percent of vehicles in France compared to a 53.3 percent average in Wester-Europe. Most all of these people who stopped driving were happy, some even sold their cars to move to Vauban, Germany.

""When I had a car, I was always tense. I'm much happier this way,"" said Heidrun Walter in

In German Suburb, Life Goes On Without Cars . Most people when driving a car are usually stressed because they're worried about hitting a pedesrtian or hitting another car on the road. Bogota, Colombia, according to

Car-free day is spinning into a big hit in Bogota , has a Day Without Cars and it has already spread to two other cities, Cali and Valledupar. ""It's a good opportunity to take away stress and lower air pollution,"" said businessman Carlos Arturo Plaza while riding a two-seat bike with his wife. Most people participate, and the rain doesn't stop them. Parks and sports centers also have been getting business, aswell as the sidewalks being replaced with new and smooth ones. As a result, new businesses have popped up.

In

The End of Car Culture , it says that in recent studies, it suggests that Americans are buying fewer cars, driving less and getting fewer licenses as each year goes by. Also, another study found that driving by younger people decreased 23 percent between 2001 and 2009. Some of the reasons of this sudden drop is because of unemployment and money issues, but Mimi Sheller, a sociology professor at Drexel University and director of its Mobilities Research, has said that some factors is that of the Internet. The Internet makes telecommuting possible and allows people to feel more connected without having to meet up with friends. Since the peak in miles in 2005, the average number of miles driven per person has dropped just below 9 percent under the peak, the same to where it was in January 1995. Most find use in the public transportation to get around.

In the end, driving is progressivly losing its need to get from one place to another. Pollution is being delt with by restricting car use, and people are much happier with using public transport and not having to drive so often. Maybe someday soon the dream of the absence of the humming of motors and car-filled streets will become a reality.",False
"Ths technology is has helping the humans by their invention over the time.

The software that detect how people are feeling, while they are try to hide their emotions. The system is called the Facial Action Coding Systemis now on variety of industries. It classifien on the basic emotion like happy, surprise, anger, scary, and sad. The computer it structure by a 3-D model of the face to detect their feeling.

When you are happy and smile looking on the computer it going to detect, so how has you been. In school, is better and helping in students doing better on their grades so, facing to the screen of your classroom that students if they are boring or just confused on their class. Showing student they don'tlike the class by their teaching. Also students it just wanted it to be an interesant topic on each of their class. It also developing wat to communicate with humans and computers.

It help us by recognize the face of our peer, ""For instance, you can probably tell how a friend is feeling simply by the look on her face. Of course, most of us would have troubles actually describing each facial triat conveys happy, worries, etc."". Just the computer can know the feeling you feel. if we face with an angry face but meanwhile it showing a happy face to us.""They even indicate the difference between a genuine smile and a forces one"". By identifity a real smile not a fake one its muscle it go the cheek. A fake smile the mouth its stretched sideway

Is describe how the computer can detect on a real face or just on a painted face descrbing of the facial movement were. The muscle of the facial is not expresses their emotion, and also can structure of their face with a smile. By feeling other their emotinos it can also us feel it,as just of creating an emotions. Describing a face is can't lie because of their different muscles, is just telling the truth of your self. It just to communicate between humans and computers with their feeling.",False
"Cars have been in use ever since World War II. Yet, more and more people have been limiting their usage of cars. Many take the alternative of bikes or buses, which ultimately creates benefits for not only one's self, but as well as all of the other people within the area. The benefits of limiting car usage are lowering pollution, creating less road and city congestion, and stress relief.

First of all, people have known for years that cars are a large source of air pollution. However, what most don't know is that ""passenger cars are responsible for 12 percent of greenhouse gas emissions in Europe... and up to 50 percent in some car intensive area in the United States"" Rosenthal, Elizabeth Paragraph 5. ""Cold nights and warm days caused the warmer layer of air to trap car emissions"" Duffer, Robert Paragraph 15. Therefore, not only do the car emissions go into the atmosphere, but it gets trapped there, so the more cars being used, the more emissions get built up and added. By limiting the usage of cars, the car emissions in the atmosphere that create air pollution can be reduced.

Secondly, many big cities have to deal with cars and traffic contesting the area. ""BOGOTA, ColombiaIn a program that's set to spread to other countries, millions of Colombians hiked, biked, skated or took buses to work during a carfree day yesterday, leaving the streets of this capital city eerily devoid of traffic jams"" Selsky, Andrew Paragraph 20. This allowed more room for people to move along the roads and without having to worry of being hit by a car. ""Rushhour restrictions have dramatically cut traffic"" Selsky, Andrew Paragraph 28. In doing so has allowed for pedestrians to be safer when crossing roads. A benefit in which prevents a hospital bill.

Lastly, stress relief can come from limiting the usage of cars, including relieving stress. ""'When I had a car I was always tense. I'm much happier this way,' said Heidrun Walter, a media trainer and mother of two, as she walked the verdant streets where the swish of bicycles and chatter of wandering children drown out the occasional distant motor"" Rosenthal, Elizabeth Paragraph 3. Heidrun isn't the only one who agrees that life without a car is less stressful. ""'It's a good opportunity to take away stress and lower air pollution,' said businessman Carlos Arturo Plaza as he rode a twoseat bicycle with his wife"" Selsky, Andrew Paragraph 24. Arturo and his wife were participants of the Colombian carfree day program. When you live a stressless life, it is proven that you can live longer, especially when replacing your car with exercise.

In conclusion, the benefits that come with limiting car usage are a healthier world. One, by replacing your car with exercise and relieving stress. Two, by lessening road accidents. Three, by lessening air pollution, which is not only better for the environment, but yourself. By limiting car usage, all of the benefits work out in your personal favor.",False
"I am with the idea of the FACS becaues it seems vary interesting. The idea of a machine that can read emotions is cool. Though can be a little scary that commputer can tell if your happy or sad. But the idea is still cool to think about. I would like to see if they can even get the FACS to work on animals in the furture.

A reasion this could be a good idea is becaues you be able to tell if some one is lying to you. Like if there is a bad persion in court and you wont to know if there lying to your face you just look at the machine and it would tell you. Though some people would like to keep some things a scorit you be able to tell is there lying to you and if there sad as well then you know its a secorit. Many people would be saved and devastated by this machine.

My second reasion for going with the FACS is becaues it may be able to uncover crimes like if the dead persion was sad or happy when they die. Some family members may want to know that but will never know if they don't have the FACS. The FACS seem to be good on paintings so I was thinking that it may work on a dead body. Becaues if it works on Mona Lisa, then it should work on anything that dont use muscle ever or in the past like a dead body.

My therd reasion is if you make it be useable on animals then we can uncover a lot of mysteryes. Like if you wanted to know how your dog or cat felt about you all you had to do was turn on the FACS and see. We could also see if lions kill becaues there mean or becaues they dont know what eals to do. Many things could be uncover thnks to FACS.

Thess are my reasions for choosinf the FACS becaues it can help humans in many ways. We could be one step closer to uncovering mystoryes. I like the idea but many people may dissagree becaues they might say that they want to keep things scroit. But like I sead earlyer use the machine if there lying but also sad then you know it is a scorit. So I beleve the FACS should be able to go to anyone that wants it but that is just a thought.",False
"I am both against and for this new techonology device. It has both good and bad things to it and I will explain both why I think its a good idea and why I think its a bad idea, Here is why I think its a good idea. It can be a good idea for the guidance office of a school if a student is there for help. They can tell if the student is happy, sad, angry, or disgusted. It can help them understand what kind of emotions that practicular student is feeling, It also can be good with the example the author provided where if you smile on your computer a web ad appears but if you frown the next ad will be different. These examples are great ideas of why this technology device can be a great and helpful device.

This technology device could also be a bad idea and here is why, The device could be used on a student that doesn't really feel comfortable about giving their emotions to another person. If students have so much freedom with this device to read anyones emotions it could result in someone getting uncomfortable. Not everyone is going to want their emotions to be exposed. So if you give this device to some people they could easily humilate someone by exposing their emotions at the wrong time. For example, it could go wrong if a boyfriend was to use it on his girlfriend without the girlfriends permission and could ruin their relationship just like that.

In conclusion to these arguments supporting the technology and going against it. The device should be used in hands that are supposed to have it. Someone who has experience with the device and not anyone who is new. Someone who is mature enough to use it with polite manners, Not someone who is going to use it on each and every person they see. But use it with permission and not without someones consent.",False
"The use of technology to read emotional expressions of students in a classroom is valuable, it can detect the emotions of someone trying to hide their emotions, it can detect how you or someone else feels, and computers can find out if you like, hate, or confused about something.

If you smile when a web add apears on the screen of a computer a similar add will appear, but if you frown a different add could apear.

In a real smile the zygomatic major lift the corners of your mouth, but in fake smiles the mouth is streched sideways using the zygomatic major and the risorius.

It uses muscular action units to indicate the difference between a genuine smile and a forced smile.

With Facial Action Coding Systems people can see genuine or forced facial expressions, feeling of people with just their facial expression, and could allow computers to find out what you like or dislike.",False
"Most people seek advice from multiple individuals when faced with a problem, and they have good reason too. Speaking to multiple people about advice can help the person searching for it open new doors. Seeking advice from others is highly beneficial because they can help the person see another point of view or help him or her see flaws or strengths in an already existing idea.

When someone asks multiple people for advice, that person is given the opportunity of seeing different points of view. Perhaps this person could see no other option but his or her own. But since all of our brains work differently, going to other people for new ideas could help open up other pathways to a solution.

Additionally, seeking advice from multiple persons may help the seeker see a flaw in an existing idea. Hearing what other people think about an individual's idea could help see what could be improved upon. Similarly, this could also help that individual see strengths that prove that his or her's initial idea is the right choice.

In conclusion, gathering advice from many people helps someone see new possibilities to an idea or see strengths and weaknesses of a preexisting one. Getting a fresh look at a problem can help someone see new ways it can be solved. Advice from others can also help critique an idea. The many people that seek advice from multiple sources are utilizing every tool they have access to.",False
"Dear State Senator,

There are many issues concerning the Electoral College and whether to keep it or changing election by popular vote for the president of the United States.  The Electoral College is very important considering it has educated canadates.  The people do not understand that the United States has many uneducated people.  They do not realize that if there is no Electoral College, the people with education will vote to directly decide the president, but so will the uneducated people.  The Electoral College wants the best for our country and is trying to benifit the USA, not cause it harm.

Though the Electeral College is a benefit and means no harm, it does have its flaws.  Many people when they vote for example, a democratic representative, they expect the democratic representative to vote for the democratic canadate for president.  Unfortununtly, sometimes that is not the case.  The democratic representative will end up voting for the Republican canadate for president.  This issue occurs many times in the Electoral College which is why people are having second thoughts about the Electoral College and wanting to eliminate it so that they can directly vote for the president or vice president they want and think will improve our country more.

The Electoral College is benefitcial because it is educated people trying to figure out by anallyzing and concluding who will represent and run our country the best way possible.  In the first article, it says ""MOST states have the ""winner-takes-all"" system"", but in the second article it says ""Because of the winner-take-all system in EACH state"".  In the second article, one of the arguments as to why the Electoral College should be abolished is incorrect due to the fact that not every state has the ""winner-takes-all"" system.  Since they got imformation wrong, people can not count this article as a reliable source of information.

Our counrty has been doing very well compared to the other countrys like Korea, Africa, Cuba, China, and etc.  People should just be grateful and apperciative that the United States is doing as well as it is doing.  The Electoral College is a benifit and it should not be abloished or eliminated from congress, but it should be improved.  We as americans should try to advance our country in every way possible, not eliminate something if it does not go our way.  We should try to cooperate and improve on the mistakes to make our country better and progress everyday so that today is better than yesterday, and tomorrow better than today!

Sinceraly,

PROPER_NAME",False
"We have all had to make a tough decision, and we have all gone to others for help when making that decision. This is nothing to be ashamed of because people are smart, and the more people thinking about what to do in a situation, the better the solution is. When someone is making a tough decision it is crucial that they talk to others before making a final decision. First of all, by talking to other people you might find that they have better solutions that you never thought of because you were too close minded. Secondly, having others agree with your decision can make you feel more confident in your choices. Lastly, sometimes simply by telling someone your decision you yourself can find things to improve on.

Talking to multiple people before making a decision can help you find other solutions that you never would have considered. For example, last summer I was deciding whether or not to apply to Generic_School. Currently, I was planning on not applying because I didn't believe I would stand a chance and I did not want to waste 100 of my parents dollars. This all changed when I asked my mom for her opinion. When I told her my plan she said to me, ""Well, you will never know if you can make into Generic_School it if you don't try."" This inspired me and made me realize that it is not a waste of money if I try my best and work hard. This is a prime example of how consulting others can open your eyes to make better decisions.

A second reason to ask multiple people for their opinion is because knowing that others agree with you on a choice you are making can make you feel more confident in that choice. After my mom changed my mind and convinced me to apply to Generic_School I continued to ask others if they thought I was making the right choice. Having others, such as my dad, brother, and close friend, agree with me made me even more confident that I was making the right choice.

The final reason why asking others about the decision you are making is the right thing to do is that telling someone your thought process to reach a decision may expose to you any flaws that can be fixed. Think back to a time when you were writing a paper. After working on it for a couple of hours you were sure you had worked out all of the mistakes. Then suddenly when you went to read it to someone you realized that there are so many grammar flaws that you just did not realize when writing the paper. I believe that it is the same with decisions. If someone simply tells someone else their decision they might realize something that they do not think is right and change their decision. By simply telling someone your decision you could save yourself from making a bad choice.

Talking to others before making a decision is the best thing you can do for yourself. Even though someone may think they are making the best decision it is always helpful to get other opinions because maybe someone else has a better idea. Having someone agree that you are making the right decision can help you feel more sure that you made the right decision. Even if neither of these things are the case, by telling someone your decision and the thought process behind it you may find a kink in the process that when worked out, can help you make a better decision. All of these reasons are why I am asking you to ask others for advice before making a decision, because you know what they say, two minds are better than one.",False
"Who knew that a planet referred to as Earth's ""twin"" could possibly provide so many unknowns to humans? Venus is the second planet in our solar system and is the ""closest planet to Earth in terms of density and size, and occasionally the closest in distance too"". Venus has a more harsh environment than Earth. With a surface temperature of over 800 degrees, and a thick atmosphere of nearly 97 percent carbon, Venus is not tolerable for humans. Despite these presented dangers, the author of the article suggests that studying Venus is worth the risks.

The author of the article mentions clearly in paragraph three the intolerable living conditions of the planet Venus. Although the author has knowledge of these dangers, they claim that studying the Earth-like planet is worth it. In order to back up their claim, the author provides facts in the texts to convince the reader of the following: ""Long ago, Venus was probably covered largely with oceans and could have supported various forms of life, just like Earth. Today, Venus still has some features that are analogous to those on Earth."" This excerpt for example, may cause the reader to make inferences about other similarities between Earth and Venus, and would spark more interest in learning about Venus.

In addition to similar physical features, the author mentions how Venus is ""our nearest option for planetary visit, a crucial consideration given the long time frames of space travel."" This is a very vital fact, and significantly backs up the authors claim. Many planets and stars are several hundred light years away, making space travel and new discoveries by humans difficult. The closeness of Venus would allow humans to visit Venus, if there was a safe way to get there.

Leading off of the previous statement, The National Aeronautics and Space Administration (NASA) has been formulating a solution to ""the hostile conditions on the surface of Venus... Imagine a blimp-like vehicle hovering 30 or so miles above the roiling Venusian landscape"". This would allow scientist to get extremely close to the surface of Venus, yet not close enough to gather samples from the planet itself.

The author of the article ""The Challenge of Exploring Venus"" suggests that studying Venus is a worthy pursuit despite the dangers it presents. The author was able to effectively support the idea that studying Venus is worth the risk, as it is the nearest planet to visit, as well as the idea of a blimp-like vehicle allowing close access to the planet to make new scientific discoveries. Despite the dangerous temperatures, and atmosphere composed of nearly 97 percent carbon dioxide, the author provided many examples as to why studying Venus is worth the risk to make new discoveries, and gather beneficial information about Earth's so- called ""twin"".",False
