input,output
https://i.ibb.co/GfdMVCHs/cast-def-0-15.jpg,TRUE
https://i.ibb.co/p670RYYV/cast-def-0-7.jpg,TRUE
https://i.ibb.co/Vck3jjD3/cast-def-0-26.jpg,TRUE
https://i.ibb.co/Z6Qst9K0/cast-def-0-28.jpg,TRUE
https://i.ibb.co/1ty4p2Kg/cast-def-0-40.jpg,TRUE
https://i.ibb.co/d0QSXDmr/cast-def-0-49.jpg,TRUE
https://i.ibb.co/Txm1p8MH/cast-def-0-65.jpg,TRUE
https://i.ibb.co/G3WZMfwR/cast-def-0-61.jpg,TRUE
https://i.ibb.co/xt5VJ2fp/cast-def-0-67.jpg,TRUE
https://i.ibb.co/4n56bGqG/cast-def-0-85.jpg,TRUE
https://i.ibb.co/S4CL9PMQ/cast-def-0-87.jpg,TRUE
https://i.ibb.co/MkmJ8tM8/cast-def-0-88.jpg,TRUE
https://i.ibb.co/k629sFh3/cast-def-0-108.jpg,TRUE
https://i.ibb.co/RkxrfC80/cast-def-0-112.jpg,TRUE
https://i.ibb.co/wFKRwsYF/cast-def-0-118.jpg,TRUE
https://i.ibb.co/tT1Zt3jX/cast-def-0-138.jpg,TRUE
https://i.ibb.co/TMSy3S83/cast-def-0-143.jpg,TRUE
https://i.ibb.co/0p80VnFJ/cast-def-0-144.jpg,TRUE
https://i.ibb.co/7Nxc67zx/cast-def-0-147.jpg,TRUE
https://i.ibb.co/6RhXCzZ5/cast-def-0-148.jpg,TRUE
https://i.ibb.co/C3gD5MSD/cast-def-0-149.jpg,TRUE
https://i.ibb.co/Zp3hDFW5/cast-def-0-150.jpg,TRUE
https://i.ibb.co/RFYyhj8/cast-def-0-151.jpg,TRUE
https://i.ibb.co/vxhv2W3K/cast-def-0-154.jpg,TRUE
https://i.ibb.co/kkD7wQT/cast-def-0-157.jpg,TRUE
https://i.ibb.co/0TKgv1p/cast-def-0-158.jpg,TRUE
https://i.ibb.co/v4RF7g6T/cast-def-0-159.jpg,TRUE
https://i.ibb.co/VWSP99T5/cast-def-0-161.jpg,TRUE
https://i.ibb.co/cRPx71y/cast-def-0-160.jpg,TRUE
https://i.ibb.co/m5Y1qVDs/cast-def-0-162.jpg,TRUE
https://i.ibb.co/qLs4PRC2/cast-def-0-164.jpg,TRUE
https://i.ibb.co/kV9mMMpJ/cast-def-0-174.jpg,TRUE
https://i.ibb.co/tpZwXPkK/cast-def-0-175.jpg,TRUE
https://i.ibb.co/qYjtF5mX/cast-def-0-176.jpg,TRUE
https://i.ibb.co/ycd3YQcW/cast-def-0-181.jpg,TRUE
https://i.ibb.co/RpYRbYCd/cast-def-0-184.jpg,TRUE
https://i.ibb.co/6JpVKTDX/cast-def-0-182.jpg,TRUE
https://i.ibb.co/nq4f5NYr/cast-def-0-186.jpg,TRUE
https://i.ibb.co/dJV2VyVy/cast-def-0-190.jpg,TRUE
https://i.ibb.co/YTDJF04x/cast-def-0-193.jpg,TRUE
https://i.ibb.co/QvhthBdn/cast-def-0-197.jpg,TRUE
https://i.ibb.co/JjKJBBT5/cast-def-0-216.jpg,TRUE
https://i.ibb.co/DP159Kmg/cast-def-0-218.jpg,TRUE
https://i.ibb.co/C3kkSVp9/cast-def-0-220.jpg,TRUE
https://i.ibb.co/N2GpTh1N/cast-def-0-221.jpg,TRUE
https://i.ibb.co/DP5SFV4B/cast-def-0-224.jpg,TRUE
https://i.ibb.co/vvCQL8hN/cast-def-0-228.jpg,TRUE
https://i.ibb.co/JWf3FnQd/cast-def-0-230.jpg,TRUE
https://i.ibb.co/LD3dyjTR/cast-def-0-231.jpg,TRUE
https://i.ibb.co/TBmB032y/cast-def-0-235.jpg,TRUE
https://i.ibb.co/GQ560fng/cast-def-0-236.jpg,TRUE
https://i.ibb.co/k2gwZf4t/cast-def-0-242.jpg,TRUE
https://i.ibb.co/Hf5vNKFd/cast-def-0-246.jpg,TRUE
https://i.ibb.co/CKmy3p3N/cast-def-0-249.jpg,TRUE
https://i.ibb.co/1gWNWkK/cast-def-0-247.jpg,TRUE
https://i.ibb.co/4ZJ87VN8/cast-def-0-257.jpg,TRUE
https://i.ibb.co/tpsfXwdm/cast-def-0-259.jpg,TRUE
https://i.ibb.co/tpGkJRGP/cast-def-0-260.jpg,TRUE
https://i.ibb.co/PsRjgpQH/cast-def-0-275.jpg,TRUE
https://i.ibb.co/p6HmYYnK/cast-def-0-280.jpg,TRUE
https://i.ibb.co/fYL6c8s5/cast-def-0-283.jpg,TRUE
https://i.ibb.co/JWZFb8T8/cast-def-0-290.jpg,TRUE
https://i.ibb.co/YTP54kCN/cast-def-0-291.jpg,TRUE
https://i.ibb.co/RpvsNSMC/cast-def-0-302.jpg,TRUE
